gene	cell	contrast	logFC	AveExpr	P.Value	adj.P.Val	sig	direction
H2-T22	Mo	PR8_100_vs_Sham	2.01352309668199	11.1531407616695	3.39186693299828e-11	3.76991876823872e-09	TRUE	up
H2-T26	Mo	PR8_100_vs_Sham	1.13664495283853	9.11336405465621	7.83929839535096e-06	0.000123980208317779	TRUE	up
H3c14	Mo	PR8_100_vs_Sham	1.33014487146768	10.9783271910829	1.11343895836674e-07	3.7916150060978e-06	TRUE	up
H3c8	Mo	PR8_100_vs_Sham	1.37130695600353	10.5137117255822	1.52943750990689e-07	4.84725690020986e-06	TRUE	up
H4c2	Mo	PR8_100_vs_Sham	-1.19682994903073	5.48451273067087	0.00251340122137946	0.0146546399082617	TRUE	down
H60a	Mo	PR8_100_vs_Sham	1.27400439488798	7.05626520149606	1.86185748276002e-05	0.000254692555654479	TRUE	up
Haao	Mo	PR8_100_vs_Sham	-1.58981596153407	7.4816503617874	5.01161470262465e-06	8.56039416387488e-05	TRUE	down
Hacd4	Mo	PR8_100_vs_Sham	-1.43808811352679	7.91799883629848	2.92195989768134e-05	0.000370276865893823	TRUE	down
Hadh	Mo	PR8_100_vs_Sham	-1.0047421533422	9.24406313548851	9.3249507942949e-05	0.000984471223368667	TRUE	down
Hap1	Mo	PR8_100_vs_Sham	3.53612277619761	7.69935416414999	2.99177343910429e-12	5.14874557987787e-10	TRUE	up
Hat1	Mo	PR8_100_vs_Sham	1.53477677987554	10.8929896766671	2.50293310170909e-09	1.5059941463479e-07	TRUE	up
Haus8	Mo	PR8_100_vs_Sham	1.45837444055888	8.01518581692157	2.214371623624e-07	6.64934668594787e-06	TRUE	up
Havcr2	Mo	PR8_100_vs_Sham	1.13850266483277	11.6106911218658	3.05859050409244e-06	5.73217107939104e-05	TRUE	up
Hbegf	Mo	PR8_100_vs_Sham	1.66974543596477	8.10792531769833	5.24835861878145e-06	8.88888674006319e-05	TRUE	up
Hcar2	Mo	PR8_100_vs_Sham	1.52650804531063	6.11677924909706	4.00540638438735e-05	0.000482729888419575	TRUE	up
Hdac10	Mo	PR8_100_vs_Sham	-1.83227376389287	5.63137630884461	2.80811368879039e-06	5.37605975946054e-05	TRUE	down
Hdc	Mo	PR8_100_vs_Sham	1.61282994552938	9.38612379839205	1.1832716973743e-07	3.99541424398222e-06	TRUE	up
Helz2	Mo	PR8_100_vs_Sham	1.48466284328229	10.6086007007534	1.36738113846549e-08	6.51129483935341e-07	TRUE	up
Hepacam2	Mo	PR8_100_vs_Sham	-1.84614995699578	5.17918133251737	8.93165057392321e-07	2.06604138273923e-05	TRUE	down
Herc3	Mo	PR8_100_vs_Sham	1.35218262920425	10.1686441163345	2.38040066773125e-06	4.73859610535307e-05	TRUE	up
Herc4	Mo	PR8_100_vs_Sham	-1.09673933763662	10.7210466396019	1.31794257384791e-07	4.37628026855515e-06	TRUE	down
Herc6	Mo	PR8_100_vs_Sham	2.1554237159482	9.25436221098626	7.28242055622457e-10	5.20335450903456e-08	TRUE	up
Hexim1	Mo	PR8_100_vs_Sham	-1.1190029432825	6.47414725284571	0.00023613238749228	0.00211370182428073	TRUE	down
Hfe	Mo	PR8_100_vs_Sham	-1.18443585230929	8.53892786475188	0.000198879035638546	0.00183567414382637	TRUE	down
Hgsnat	Mo	PR8_100_vs_Sham	-1.74919153280679	9.81717830123843	7.80469366232816e-08	2.79449937506851e-06	TRUE	down
