score	vs	Tac1_mean	other_mean	p_value	p_adj_BH
FluSig	Vglut2+_only	-0.0412035582544972	-0.0385533258547881	0.632771668080804	0.999999999999964
Targets58	Vglut2+_only	-0.0382159152436379	-0.0400589212973862	0.0879990833050898	0.197997937436452
CoughSig	Vglut2+_only	0.212085398741132	0.162312188061254	7.47908066965413e-09	2.24372420089624e-08
FluSig	Vgat+_GABA	-0.0412035582544972	-0.0378209551840031	0.999506521438854	0.999999999999964
Targets58	Vgat+_GABA	-0.0382159152436379	-0.0272058402059885	0.999939560338021	0.999999999999964
CoughSig	Vgat+_GABA	0.212085398741132	0.142668440711752	4.2371796053534e-16	1.90673082240903e-15
FluSig	Other_neuron	-0.0412035582544972	-0.0281143375428453	0.999999999999907	0.999999999999964
Targets58	Other_neuron	-0.0382159152436379	-0.0133422485472972	0.999999999999964	0.999999999999964
CoughSig	Other_neuron	0.212085398741132	-0.0336351108901263	1.82642072151524e-65	1.64377864936372e-64
