cluster	n_cells	avg_Neuron	avg_Vglut2_Glu	avg_Vgat_GABA	avg_Tac1	avg_Cx3cr1_Imm	avg_Astrocyte	avg_Oligo	avg_Endothel	avg_Ependyma	avg_Pericyte	avg_Schwann	pct_Tac1	pct_Cx3cr1	pct_Slc17a6	pct_Slc32a1	top_class
0	1115	0.696487266608443	0.106213544705022	0.0985362104259458	0.0901176321560922	0.0303775258601787	9.86383237847128	1.52831992497678	0.0170847827905971	0.025352612419381	0.140356401049129	0.118945766953305	0.0520179372197309	0.00896860986547085	0.0618834080717489	0.0251121076233184	Astrocyte
1	749	1.00010526689477	0.0680215806119511	0.145103900745477	1.70465938204059	0.0204259900261635	0.951825881488933	6.76485868241287	0.00955585060644695	0.01107121782006	0.0267347927521371	1.09042376908231	0.679572763684913	0.00400534045393859	0.0534045393858478	0.0320427236315087	Oligo
2	489	8.20391676903929	0.0616536335401211	5.74910658573307	0.699330442444524	0.011972909740092	0.12188442936392	0.220210015679524	0.0123713762239512	0.00445940730479401	0.0158864914638819	0.143270183766695	0.10838445807771	0.00613496932515337	0.0940695296523517	0.98159509202454	Neuron
3	472	2.87285050761217	1.09338565944648	0.757515079869637	0.80051345336684	0.158046717166689	3.7857234465011	1.29089229322445	0.0659663265541078	0.0432093458746779	0.189707731807611	0.0838505856613176	0.0614406779661017	0.010593220338983	0.146186440677966	0.0805084745762712	Astrocyte
4	356	9.69068308267793	0.190980978669464	5.07643285228409	0.172902313564789	0.0384484843756736	0.116078427595101	0.23856426520533	0.00624197258141178	0.0125591956723985	0.0150353765236877	0.0826771184770143	0.117977528089888	0.00561797752808989	0.134831460674157	0.943820224719101	Neuron
5	310	0.593859549180202	0.084774502573695	0.0671151271917462	0.114244525420655	0.01135520402779	13.6538568633899	2.33437160003432	0.00659337323817071	0.0701147183779246	0.0851726935553603	0.138943269766486	0.116129032258065	0.00967741935483871	0.0645161290322581	0.0354838709677419	Astrocyte
6	293	7.83674376009953	4.87534629411852	0.0456528603178173	0.354522650334249	0.0114744451089051	0.116956201091209	0.198155848676181	0.0128189815430349	0.0263317777437451	0.0281174607732861	0.128455194296593	0.119453924914676	0.0136518771331058	0.931740614334471	0.0273037542662116	Neuron
7	284	0.376460309250334	0.13934808992743	0.0516507299915327	0.108763826515834	29.8241056494046	0.259434410590021	0.44002059363153	0.0399405965068945	0.008068059279979	0.0147726046128317	1.03760874200687	0.0774647887323944	0.922535211267606	0.0915492957746479	0.0422535211267606	Cx3cr1_Imm
8	275	0.847650429859863	0.107280820381327	0.098592422399217	0.793354502657391	0.0209815674173225	2.37202980100904	4.85601218377679	0.00371948212394166	0.041729041101518	0.0383190258129184	1.08040093847297	0.483636363636364	0.00727272727272727	0.101818181818182	0.04	Oligo
9	270	8.27327230628835	5.55849385407429	0.211961206626042	10.8105880579221	0.0291909802490215	0.0947065971025733	0.180668878952443	0.0102737270824522	0.00280838348066196	0.00181227335571408	0.0660628949853762	0.222222222222222	0.0111111111111111	0.996296296296296	0.0666666666666667	Tac1
