gene	TX91_mean	TX91_mean_threshold	pass
St8sia4	12.8969148384208	6.11716417170886	TRUE
Cytip	12.8777807689161	6.11716417170886	TRUE
Trav3-3	12.6272637638198	6.11716417170886	TRUE
Hspa1b	12.5138432316095	6.11716417170886	TRUE
Hipk1	12.5104048818166	6.11716417170886	TRUE
Aplp2	12.4673296514921	6.11716417170886	TRUE
Arid3a	12.422976607051	6.11716417170886	TRUE
Cdc42ep3	12.2905705663592	6.11716417170886	TRUE
Cdkn2d	12.2296193844535	6.11716417170886	TRUE
Lbr	12.1167015763883	6.11716417170886	TRUE
Adgre4	12.1109895191599	6.11716417170886	TRUE
Septin11	12.1012891998677	6.11716417170886	TRUE
Samsn1	12.0741664441527	6.11716417170886	TRUE
Ccnd3	12.0296491091023	6.11716417170886	TRUE
Ddx17	12.0261896364457	6.11716417170886	TRUE
Flvcr1	12.0256906822514	6.11716417170886	TRUE
Vcl	11.9965246568132	6.11716417170886	TRUE
Smarca2	11.9849011090821	6.11716417170886	TRUE
Hcfc1	11.9584403482349	6.11716417170886	TRUE
Slc44a2	11.9112082532788	6.11716417170886	TRUE
Cat	11.9079193228436	6.11716417170886	TRUE
Emilin2	11.884233091055	6.11716417170886	TRUE
Smpdl3a	11.858327448302	6.11716417170886	TRUE
Cdc42se1	11.8536417644218	6.11716417170886	TRUE
Tiam1	11.8218558687965	6.11716417170886	TRUE
Top2b	11.7874536591683	6.11716417170886	TRUE
Nxpe4	11.6902671998497	6.11716417170886	TRUE
Nadk	11.6188913566203	6.11716417170886	TRUE
Rassf4	11.6153072280817	6.11716417170886	TRUE
Spidr	11.6121126338534	6.11716417170886	TRUE
Chsy1	11.5567730233835	6.11716417170886	TRUE
Emb	11.5413817861554	6.11716417170886	TRUE
Degs1	11.5408912695257	6.11716417170886	TRUE
Hipk3	11.5246969136729	6.11716417170886	TRUE
Gng10	11.5206474668852	6.11716417170886	TRUE
Tnfrsf21	11.5197754596533	6.11716417170886	TRUE
Iqgap2	11.481526401334	6.11716417170886	TRUE
Rere	11.4801640590879	6.11716417170886	TRUE
Rassf3	11.4758635494974	6.11716417170886	TRUE
Opn1sw	11.3876973858246	6.11716417170886	TRUE
Hsph1	11.3703946981695	6.11716417170886	TRUE
Pros1	11.3441966381619	6.11716417170886	TRUE
Ypel3	11.2910830510754	6.11716417170886	TRUE
Ugt1a2	11.282465050423	6.11716417170886	TRUE
Fam117b	11.2743692663541	6.11716417170886	TRUE
Atp2a3	11.2364995750065	6.11716417170886	TRUE
Add3	11.2247617530069	6.11716417170886	TRUE
Arhgap45	11.2234148094277	6.11716417170886	TRUE
Hspa1a	11.2209398013822	6.11716417170886	TRUE
Padi2	11.2099712236353	6.11716417170886	TRUE
Ldlrad3	11.2081311330432	6.11716417170886	TRUE
Kdsr	11.1828222506885	6.11716417170886	TRUE
Stk17b	11.1176372674581	6.11716417170886	TRUE
Sgk3	11.0935168931583	6.11716417170886	TRUE
Slc12a2	11.0894354016624	6.11716417170886	TRUE
Mrpl33	11.0791900876383	6.11716417170886	TRUE
E2f2	11.0625803394646	6.11716417170886	TRUE
Pdlim1	11.0532058749956	6.11716417170886	TRUE
Kctd12	11.052064435472	6.11716417170886	TRUE
Map4k4	11.0496504592079	6.11716417170886	TRUE
Herc4	11.0405803605862	6.11716417170886	TRUE
Thbd	11.0363958512855	6.11716417170886	TRUE
Aldh2	10.9919375148194	6.11716417170886	TRUE
Ceacam1	10.9917759686478	6.11716417170886	TRUE
Hnrnpa2b1	10.926617857238	6.11716417170886	TRUE
Ear2	10.9128887114497	6.11716417170886	TRUE
Brd3	10.9060344522222	6.11716417170886	TRUE
Ear1	10.8932256843274	6.11716417170886	TRUE
Ampd3	10.867386647959	6.11716417170886	TRUE
Dna2	10.85869833676	6.11716417170886	TRUE
Hnrnpul2	10.8433230570423	6.11716417170886	TRUE
Nr4a1	10.8305846067537	6.11716417170886	TRUE
Stat5a	10.8060365588382	6.11716417170886	TRUE
Abcb7	10.7968432795196	6.11716417170886	TRUE
Arhgap39	10.787476634332	6.11716417170886	TRUE
Myo5a	10.7702187190076	6.11716417170886	TRUE
Mbp	10.7673251885982	6.11716417170886	TRUE
Gramd4	10.7557022713707	6.11716417170886	TRUE
Idi1	10.7516991053176	6.11716417170886	TRUE
Hspe1	10.7261989691322	6.11716417170886	TRUE
Sft2d2	10.7071329295114	6.11716417170886	TRUE
Bnip3l	10.6900002768274	6.11716417170886	TRUE
Arhgef18	10.6749385399901	6.11716417170886	TRUE
Ccpg1	10.6723542191133	6.11716417170886	TRUE
Mxi1	10.6717063869143	6.11716417170886	TRUE
Itgb7	10.6700728266001	6.11716417170886	TRUE
Snrk	10.6190085068307	6.11716417170886	TRUE
Tbc1d2b	10.6159098805743	6.11716417170886	TRUE
Hgsnat	10.6029910728264	6.11716417170886	TRUE
Ccdc88a	10.5887048380272	6.11716417170886	TRUE
Hsp90ab1	10.5794334145073	6.11716417170886	TRUE
Glud1	10.5668418138352	6.11716417170886	TRUE
Csgalnact2	10.5556768896669	6.11716417170886	TRUE
Zcchc24	10.5537711532142	6.11716417170886	TRUE
P2ry1	10.5419148964522	6.11716417170886	TRUE
Prrc2b	10.5254942993613	6.11716417170886	TRUE
Plekhg3	10.5159263710985	6.11716417170886	TRUE
Nhsl2	10.501000190492	6.11716417170886	TRUE
Il16	10.4923255918708	6.11716417170886	TRUE
Prmt3	10.4855288872185	6.11716417170886	TRUE
Cd300lg	10.4830052033051	6.11716417170886	TRUE
Mtus1	10.4729016847975	6.11716417170886	TRUE
Serpinb10	10.4634899198416	6.11716417170886	TRUE
Cers5	10.4582060424305	6.11716417170886	TRUE
