gene	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	already_down_in_TX91	pass_step5
Cers5	-0.425959645628136	0.181387541819694	FALSE	TRUE
Prmt3	-0.371240835936913	0.181387541819694	FALSE	TRUE
Rfc4	-0.71949488562216	0.1838755122079	FALSE	TRUE
Stxbp6	-0.580828861682489	0.186726784194784	FALSE	TRUE
9130008F23Rik	-0.921882685346757	0.187677546255297	FALSE	TRUE
Eeig2	-0.588452320772671	0.1881754511298	FALSE	TRUE
Specc1	-0.505418903877391	0.1881754511298	FALSE	TRUE
Nat8l	-0.917407412516225	0.188293914704217	FALSE	TRUE
Klhl42	-0.77325895823246	0.19474026931115	FALSE	TRUE
Ccpg1	-0.557468505311787	0.196567454013397	FALSE	TRUE
Sft2d2	-0.457333596831059	0.196612415349486	FALSE	TRUE
Nadk2	-0.662470946550894	0.206228587099095	FALSE	TRUE
Xpr1	-0.49281101277835	0.206814648966615	FALSE	TRUE
Cdc42ep3	-0.47112382962119	0.206866595320292	FALSE	TRUE
Cd37	-0.682170191183232	0.210258603664355	FALSE	TRUE
Mef2c	-0.524776864266096	0.211228671073041	FALSE	TRUE
Aph1b	-0.696035910443421	0.211761876559839	FALSE	TRUE
St8sia4	-0.635534995070916	0.212714406211669	FALSE	TRUE
Rbbp4	-0.426567574546695	0.214031944149182	FALSE	TRUE
Huwe1	-0.380917946790497	0.214400998326106	FALSE	TRUE
Kctd12	-0.443576462101831	0.214400998326106	FALSE	TRUE
6430548M08Rik	-0.523961667241762	0.218845477968293	FALSE	TRUE
Crem	0.757761229154609	0.220669103768132	FALSE	TRUE
Gadd45a	0.687634264089116	0.220874240557721	FALSE	TRUE
Nin	-0.369643433109973	0.224399232229476	FALSE	TRUE
Prkar2b	-0.740332637200549	0.231343396368383	FALSE	TRUE
Dhcr24	0.800530920672371	0.244033711286008	FALSE	TRUE
Stk17b	-0.366818177338361	0.245946798840833	FALSE	TRUE
Tceanc2	-0.523430706606842	0.250615851170782	FALSE	TRUE
Arid5a	0.588288218589591	0.252062947504266	FALSE	TRUE
Zhx1	-0.624149537645943	0.25267621691198	FALSE	TRUE
Snx27	-0.428729339108129	0.254949852895996	FALSE	TRUE
Foxk2	-0.407871395427472	0.256787921594755	FALSE	TRUE
Zfp362	-0.401410111806115	0.265451053428393	FALSE	TRUE
Fmo5	-0.783013065520809	0.278600481940492	FALSE	TRUE
Tpcn1	-0.542066888056245	0.278600481940492	FALSE	TRUE
Smim13	-0.395696056639663	0.280808974509749	FALSE	TRUE
Adgre4	-0.486496981441672	0.282559486020532	FALSE	TRUE
Trip6	0.588165323812115	0.283035187787231	FALSE	TRUE
Clec2i	-0.518132596154677	0.283891170119822	FALSE	TRUE
Klrb1f	0.97810948446558	0.28493824914149	FALSE	TRUE
Ubqln2	-0.381529562473697	0.284974797688861	FALSE	TRUE
Cnst	-0.412514796451667	0.286897414901856	FALSE	TRUE
Ssbp3	-0.601826341322822	0.286897414901856	FALSE	TRUE
Vezf1	-0.508301701714338	0.287180844795269	FALSE	TRUE
Tdrd3	-0.592037972834357	0.288482274872363	FALSE	TRUE
Kif21b	-0.409432321681495	0.29029899915252	FALSE	TRUE
Golim4	-0.505835075973069	0.294536635118711	FALSE	TRUE
Rab36	-0.579535935713262	0.301575100358179	FALSE	TRUE
Zfp326	-0.401213097101589	0.301684785076899	FALSE	TRUE
Frat1	-0.74945039440516	0.303600979279368	FALSE	TRUE
Kiz	-0.56194313394374	0.304360539064406	FALSE	TRUE
Insr	-0.467512667465572	0.310981241273163	FALSE	TRUE
Rin3	-0.415165071029117	0.318375715490584	FALSE	TRUE
Pigb	-0.643227489032355	0.322757535737506	FALSE	TRUE
Abcb7	-0.323700175156608	0.322897580474408	FALSE	TRUE
Lima1	-0.488047513954047	0.326501333544238	FALSE	TRUE
Man2a2	-0.473620506771862	0.326509858768209	FALSE	TRUE
Trf	-0.762476579841325	0.33201432413253	FALSE	TRUE
Taf3	-0.371443103409764	0.33413950905144	FALSE	TRUE
Ace	-0.571659541599798	0.335214352946243	FALSE	TRUE
Cyb5a	-0.471200638261998	0.337602636947098	FALSE	TRUE
Akap9	-0.467439885917496	0.338274061270039	FALSE	TRUE
Cyp27a1	-0.413760943544679	0.341823997107634	FALSE	TRUE
Rnf145	-0.402614422773983	0.341823997107634	FALSE	TRUE
Grk3	-0.527979766833166	0.341884967104164	FALSE	TRUE
Sort1	-0.602063669728672	0.342805656008625	FALSE	TRUE
Slc9a9	-0.693799365839394	0.345306812670817	FALSE	TRUE
Ints6l	-0.318334692630627	0.351895916175728	FALSE	TRUE
Rassf3	-0.310598774402589	0.352058114259282	FALSE	TRUE
Unc119b	-0.512477477944954	0.352058114259282	FALSE	TRUE
