"gene_symbol","trend_slope","trend_FDR","log2FC_100LD50_vs_TX91","FDR_100LD50_vs_TX91","log2FC_TX91_vs_Sham","FDR_TX91_vs_Sham","meanExpr_TX91","pass_step5","notes"
"Abca9",-0.849734493105143,0.000443274583719725,-2.78580621342018,8.1323014134432e-06,-0.651277517147916,0.380593552392893,9.35786972693023,TRUE,""
"Rasgrp2",-0.819291608273643,0.00521582721665301,-2.86434698166202,7.02515255074169e-05,-0.619410698777491,0.554609955759576,9.01699257390091,TRUE,""
"Cx3cr1",-0.796064804182489,0.00109190409283035,-2.38016145509736,1.02120723018076e-05,-0.47496830745828,0.505171163354884,9.88036118578639,TRUE,""
"Nfe2",-0.76933719901662,0.00152925077814071,-2.7211866083151,2.03402529600059e-06,-0.32691020555917,0.696583712084892,9.51425087431345,TRUE,""
"Abcd2",-0.741665305131023,0.000368525353496362,-2.4121535169653,8.1323014134432e-06,-0.455261599233518,0.52123568636093,8.45674769477553,TRUE,""
"Add3",-0.736342457054524,0.000276392038981831,-2.39522990350381,6.4117927794044e-06,-0.445031701600604,0.519156405945242,11.2247617530069,TRUE,""
"Sort1",-0.735939347297811,0.000205351828855178,-2.278651880722,1.74285401951211e-05,-0.602063669728672,0.342805656008625,8.8938720815841,TRUE,""
"St8sia4",-0.733851661574096,0.000116577234709057,-2.27177173512861,3.86872090174166e-06,-0.635534995070916,0.212714406211669,12.8969148384208,TRUE,""
"Bcl11a",-0.72113043318381,0.00057487888102,-2.38730186286543,8.81449796891741e-06,-0.363796092355138,0.647419677538598,9.03734689816517,TRUE,""
"Galnt9",-0.718378576371459,0.00159045543734345,-2.35799722703316,0.000105343944549808,-0.162672984763716,0.900135703338058,8.16012144372261,TRUE,""
"Cd177",-0.713807437811875,0.00421320853589835,-2.56753278546108,8.81449796891741e-06,-0.410643945235384,0.622453193772954,10.045142255511,TRUE,""
"Rnf144a",-0.712402006816226,0.00277415099863671,-2.34316458882234,0.000201768267140336,-0.522377086685841,0.600827612892992,9.24669258026422,TRUE,""
"Rfx2",-0.697485330995954,0.0119487568698117,-2.30307456391024,0.00127979532950612,-0.41215875305619,0.765807247943758,7.83712688629494,TRUE,""
"Rgs18",-0.687000431242973,0.00951537183717534,-2.3630781212661,0.000422426715192987,-0.226076630573724,0.87715081118669,8.07459617289797,TRUE,""
"Cd300lg",-0.68366118501329,0.00599978993974066,-2.36223709980053,0.000183800352207591,-0.457080589282691,0.665983136250881,10.4830052033051,TRUE,""
