gene_symbol	func_class	trend_slope	trend_FDR	log2FC_0p6_vs_TX91	FDR_0p6_vs_TX91	log2FC_10_vs_TX91	FDR_10_vs_TX91	log2FC_100_vs_TX91	FDR_100_vs_TX91	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	meanExpr_TX91
Cx3cr1	MembraneReceptor;NegRegInflamm	-0.796064804182489	0.00109190409283035	-1.72868719866881	0.00118525020340952	-2.54885087520163	1.34712754648364e-05	-2.38016145509736	1.02120723018076e-05	-0.47496830745828	0.505171163354884	9.88036118578639
Abcd2	NegRegInflamm	-0.741665305131023	0.000368525353496362	-1.19210309404949	0.0180221883243031	-1.3722955944638	0.00531768449832496	-2.4121535169653	8.1323014134432e-06	-0.455261599233518	0.52123568636093	8.45674769477553
Arrb1	TF;NegRegInflamm	-0.665918430641938	0.000561067393367804	-1.19500347939762	0.0151029411213775	-1.53364369200265	0.00158840388382358	-2.10684803127145	2.63566180281227e-05	-0.403155429341071	0.57337455696095	8.91639725560585
Klf2	TF;NegRegInflamm	-0.632456749924555	0.00084174075399392	-1.13018500124959	0.0161034910344943	-1.1494728640883	0.0114374811279182	-2.10175987880228	1.60256828849003e-05	-0.386973803507717	0.572163376383766	9.17819046060542
