GO_id	Term	Ont	FDR_vagus	FDR_Tac1	DE_vagus	DE_Tac1
GO:0051046	regulation of secretion	BP	0.0522001973349448	0.0347232788950918	14	43
GO:0032940	secretion by cell	BP	0.0249719914345039	0.0552761591613402	18	52
GO:0140352	export from cell	BP	0.055601951089042	0.0490488353908199	18	56
GO:0046903	secretion	BP	0.00246011503250443	0.0686742811279393	22	55
