gene_symbol	avg_log2FC	p_val	p_val_adj	pct_Tac1	pct_OtherNeu	p_val_adj_BH
Lmo1	1.29621115605517	3.42903846197838e-09	7.85592711639247e-05	0.349	0.191	6.26696234390024e-08
Gm27040	1.29250843144733	5.18399602123521e-09	0.000118765348846499	0.17	0.062	8.9148404018722e-08
B230208B08Rik	1.28827292278351	2.38988512229235e-05	0.547522681517177	0.137	0.061	0.00012903607186864
Hs3st4	1.25752494247436	1.51432131377847e-15	3.46931012986648e-11	0.467	0.231	1.40735223374136e-13
Megf6	1.25679846985831	3.30645969956703e-05	0.757509917170807	0.137	0.061	0.000171527505554736
Cck	1.25405173562396	1.8918735851412e-09	4.3342823835585e-05	0.241	0.105	3.64039815854483e-08
Sctr	1.25336434397047	5.12543653704352e-07	0.0117423751063667	0.113	0.038	4.79398432415548e-06
Peg10	1.24599284990241	6.09947423112448e-08	0.00139738954635062	0.33	0.179	7.42131015085007e-07
Ebi3	1.24367875460955	2.76173326346251e-10	6.32713090659262e-06	0.255	0.105	6.85411982659333e-09
Gm47033	1.24224479841139	1.10008606545256e-12	2.52029717595182e-08	0.321	0.138	5.28041311417229e-11
Egr4	1.24132470688081	4.57844803884716e-07	0.0104892244569988	0.127	0.046	4.3665198763503e-06
Lbhd2	1.24027998507003	0.000558837614802707	1	0.184	0.109	0.001951241168232
Tacr3	1.23832369905383	3.41308288172038e-08	0.000781937288202139	0.184	0.074	4.53141216636918e-07
Nrgn	1.23828904914407	3.14587180303046e-11	7.20719230074279e-07	0.467	0.261	1.01038000262037e-09
Adamts2	1.23815128326298	6.49346071034455e-09	0.000148765184873994	0.189	0.074	1.08210059358323e-07
ENSMUSG00000121472	1.23765951535399	0.0183842507261123	1	0.142	0.091	0.0429654398992286
Asb4	1.23335090547174	0.00138319145472623	1	0.146	0.082	0.00434792214176916
Il1rapl2	1.21704680477217	1.21841160387594e-05	0.279138098447978	0.132	0.056	7.22255163049742e-05
Lmx1b	1.21543077162546	3.22722789046607e-21	7.39357909705776e-17	0.373	0.127	8.81033214097236e-19
1500035N22Rik	1.21065240888001	7.05893513526755e-08	0.00161720203948979	0.193	0.083	8.3786490953393e-07
Npff	1.1943748718867	0.0040496046814098	1	0.222	0.15	0.0112666708588522
Gm39244	1.19226606714293	2.54638381690731e-21	5.83376532453464e-17	0.594	0.286	7.41506967483408e-19
Gpr156	1.18674319351658	2.0032380136529e-05	0.458941828927881	0.113	0.046	0.000111183527873391
Trpc3	1.18105567823598	2.32600830494628e-14	5.32888502663193e-10	0.434	0.208	1.47246438782686e-12
Phox2b	1.18030636545159	2.17884018026266e-29	4.99172285298176e-25	0.731	0.349	1.3595962724839e-26
Ifi27	1.17342681245283	6.02486577495733e-12	1.38029674904272e-07	0.292	0.124	2.4594966079452e-10
Hs3st2	1.17227486122354	9.42899423437191e-15	2.16018257909461e-10	0.283	0.101	6.98065200266721e-13
Slc5a5	1.16732108175293	4.31014273403995e-07	0.00987453700368553	0.212	0.1	4.12866303997511e-06
Gm30439	1.16404025523917	2.00009514789494e-08	0.000458221798382731	0.175	0.068	2.89285284967056e-07
Kctd8	1.16072129139771	2.87375022487727e-10	6.58376176519381e-06	0.59	0.407	7.04607023044832e-09
Gm2694	1.15125489893847	2.54541189630725e-18	5.8315386544399e-14	0.396	0.164	4.63264965127919e-16
Glra3	1.15116872672135	6.14964492955407e-15	1.40888365336084e-10	0.392	0.177	5.06823567024381e-13
Tmem114	1.1470394487246	1.8647570651259e-07	0.00427215843620344	0.17	0.069	1.94862652164353e-06
Proser2	1.14450306205017	3.30168728049462e-05	0.756416555961317	0.132	0.058	0.000171483591453038
Msln	1.1390543314942	0.000162922125300882	1	0.137	0.067	0.00067580538402755
Cacna2d1	1.125296139758	1.5723931104279e-37	3.60235261599033e-33	0.825	0.385	1.37364262126982e-34
Calb1	1.12396329914769	3.22532510663818e-13	7.38921981930807e-09	0.519	0.29	1.67716905545185e-11
Tmem106a	1.11894054050542	4.55755530919244e-05	1	0.132	0.059	0.000224688505536711
Arhgap28	1.11432339345846	5.76334046551585e-06	0.132038130064968	0.113	0.043	3.85517169270647e-05
D330050I16Rik	1.11285250512672	0.00144188783130543	1	0.151	0.083	0.00451805311846637
Hs3st5	1.10969445947631	1.75626976932339e-12	4.02361404151989e-08	0.462	0.246	7.90864572412843e-11
4930469K13Rik	1.10855487378205	8.53310497158867e-17	1.95493434899096e-12	0.208	0.056	1.16476882862185e-14
Pou3f1	1.10612451428089	4.36557405954046e-09	0.000100015301704072	0.401	0.229	7.6890433435777e-08
5430431A17Rik	1.10500885250425	6.56261249846511e-06	0.150349452339836	0.16	0.071	4.31709207730356e-05
