Term	Ont	N	DE	P.DE	FDR	ratio
GO:0032228	regulation of synaptic transmission, GABAergic	BP	18	9	6.20196398989778e-05	0.016027501694549	0.5
GO:0070050	neuron cellular homeostasis	BP	22	10	6.7067874978297e-05	0.0167994984185831	0.454545454545455
GO:0007416	synapse assembly	BP	103	26	6.71383151719575e-05	0.0167994984185831	0.252427184466019
GO:0007204	positive regulation of cytosolic calcium ion concentration	BP	45	15	8.63625543393619e-05	0.0212721766657141	0.333333333333333
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	BP	50	16	8.79996355799158e-05	0.0213419423889506	0.32
GO:0097060	synaptic membrane	CC	204	42	9.027630127345e-05	0.0215623577768889	0.205882352941176
GO:0003008	system process	BP	530	88	0.000114163756622106	0.026860857602849	0.166037735849057
GO:0051046	regulation of secretion	BP	215	43	0.000149783238065608	0.0347232788950918	0.2
GO:0042562	hormone binding	MF	24	10	0.000164128349480638	0.0374973811769967	0.416666666666667
GO:0098794	postsynapse	CC	342	61	0.000207928064517652	0.0463443282818984	0.178362573099415
GO:0055074	calcium ion homeostasis	BP	64	18	0.000209308149677659	0.0463443282818984	0.28125
GO:0046883	regulation of hormone secretion	BP	98	24	0.000211671633868097	0.0463443282818984	0.244897959183673
GO:0006874	intracellular calcium ion homeostasis	BP	59	17	0.000227195071024863	0.0490488353908199	0.288135593220339
GO:0140352	export from cell	BP	308	56	0.000230247007036328	0.0490488353908199	0.181818181818182
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	BP	34	12	0.000240383193647035	0.0505253421953581	0.352941176470588
GO:0007611	learning or memory	BP	123	28	0.000246294417539505	0.0505354272736765	0.227642276422764
GO:0023061	signal release	BP	180	37	0.000246842673184033	0.0505354272736765	0.205555555555556
GO:0046879	hormone secretion	BP	111	26	0.000252351508117114	0.0509270143296264	0.234234234234234
GO:0005576	extracellular region	CC	373	65	0.000255216577774707	0.0509270143296264	0.17426273458445
GO:0006584	catecholamine metabolic process	BP	21	9	0.000272482587974434	0.0523831160588899	0.428571428571429
