gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	-0.699183254153786	4.92735043757888	-4.52798552739316	0.00021420286289211	0.00468349292430085	0.335765383411491
0610030E20Rik	-0.062089835610946	8.1842180998108	-0.318223135359693	0.75367960424763	0.913554237501554	-6.88815658185505
0610040B10Rik	-0.473765879915836	6.51120710811674	-1.4746623098508	0.156176928940196	0.438220853381457	-5.8675006197712
1110002L01Rik	-0.298404824806041	5.92219298016255	-1.23626595817782	0.23096243036471	0.538952941314064	-6.17472851570793
1110004F10Rik	-0.222322817665395	10.8904787756677	-1.18608558629069	0.249760318559928	0.559456036621401	-6.23357206901877
1110006O24Rik	-0.286517637291523	5.31366625749229	-1.407537455578	0.174921408534274	0.464127510542282	-5.95849550231453
1110020C17Rik	-0.091313351477937	4.81997522494267	-0.780335300480744	0.444510724475512	0.73580245334113	-6.62856250140883
1110032F04Rik	-0.0253005233923167	4.59258110374473	-0.256932331247369	0.799907352173176	0.930578135425523	-6.90643259589018
1110038B12Rik	0.482291962199416	7.42759862435723	1.77726533500798	0.0910381998024835	0.325092902239792	-5.41695295427754
1110038F14Rik	-0.275006887009354	9.54719723512689	-1.27354918530852	0.217711741750942	0.520505415627873	-6.12966239562693
1110059E24Rik	-0.346248444095647	8.96619728321123	-1.74951002874357	0.0958362302174719	0.335049992274058	-5.46088050598403
1110059G10Rik	-0.394505195457372	6.74008297186073	-0.95315715249601	0.35211197297897	0.662460576881206	-6.47843670491845
1110065P20Rik	-0.00428510581621655	5.48535251890164	-0.0184495291993275	0.9854666572847	0.99566907706847	-6.94056902184131
1300002E11Rik	-0.509777837823597	6.52807200201164	-1.77877997876183	0.0907824571170425	0.324395610615182	-5.41454141727851
1500009L16Rik	1.46610790684443	7.74532218605523	4.65921125983403	0.000158361513548497	0.00373874677591075	0.635173917479833
1500011B03Rik	0.91861277886292	7.96651353545891	3.63699494390573	0.00168318708024259	0.0218003370308777	-1.6916513351745
1500015A07Rik	-0.274618937267023	8.7370765414947	-1.32528340784187	0.200310912183461	0.49867863243827	-6.06526060747067
1600002D24Rik	0.0302338743957797	4.73268299855219	0.27288336338504	0.787795697891509	0.925807293814595	-6.90204817005476
1600012H06Rik	0.193378651989182	8.42753482687443	0.907044193767446	0.375394376056929	0.681685130833008	-6.5211945114752
1600012P17Rik	0.172239734911097	4.62462445463581	1.83290262599699	0.0820441722135616	0.304764136696271	-5.32740976393256
1600014C10Rik	0.958148679771414	9.54743995473932	3.96839851770531	0.000781958194689896	0.0125277686746865	-0.941633182275641
1600025M17Rik	0.127454423403758	4.76153000975418	1.03644257670524	0.312607415458135	0.625957923734198	-6.3963477653697
1700001F09Rik	-0.100848886153262	4.76335454714594	-0.882684460459752	0.388098819642094	0.692322961254093	-6.54299564216463
1700001J03Rik	0.49097026898581	5.11376651053025	2.77907113730724	0.011721271885125	0.088157404380369	-3.55598028468295
1700001J11Rik	0.0341198017302187	5.66818869325786	0.121966129247981	0.90416698526362	0.969364129358927	-6.93300380027207
1700001K23Rik	0.107939637363596	5.09610098374935	0.491127460999462	0.628787406566238	0.85024722364947	-6.81592950247226
1700003F12Rik	0.23596283323871	4.80712293590867	1.45505627162416	0.161474442038669	0.446432621321281	-5.89443140843658
1700003H04Rik	0.0226757975049034	4.73257951703058	0.16232620990328	0.87270986316194	0.959254314394673	-6.92703588212699
1700007E05Rik	0.229176239565967	5.81524934722561	0.646418209034345	0.525502061047629	0.789733379067352	-6.72548556114063
1700008J07Rik	0.0279105208550696	4.78472173845675	0.209849621048117	0.835949772999492	0.944871194693282	-6.91784333066091
1700009N14Rik	-0.0657530499960339	4.64382934842648	-0.647432329660802	0.524859391435764	0.789286344069286	-6.7248167797256
1700010I14Rik	-0.057043372860635	4.60079396198087	-0.695093750901485	0.495150846248451	0.771954928327144	-6.69225661604138
1700012B07Rik	-0.089428033738856	4.62983957007529	-0.836787119789121	0.412793319967314	0.712856828450244	-6.58257966804249
1700012B09Rik	-0.0351480129985378	4.72599502665761	-0.316115348410741	0.755254795727824	0.913554237501554	-6.88884916409413
1700013G24Rik	0.12088835543521	4.59623510932788	1.26801641663123	0.219640104377027	0.523583537467131	-6.13642191495798
