ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw	sig_status
21969	Top1	topoisomerase (DNA) I	292.759354605035	-0.598699956021979	0.0987900198016435	1.36170664503707e-09	3.49541576861485e-06	-0.622998724372606	1.36170664503707e-09	down
56790	Supt20	SPT20 SAGA complex component	34.2274248198974	-0.724719888721546	0.158962362061292	5.31305374113664e-06	0.00160951854101107	-0.81302857782408	5.31305374113664e-06	down
231380	Uba6	ubiquitin-like modifier activating enzyme 6	216.995466765902	-0.788111801603111	0.17675757159891	8.3708678442419e-06	0.00217175990988479	-0.915343935694126	8.3708678442419e-06	down
380694	Ccnjl	cyclin J-like	59.2305682716631	-0.76460356355183	0.172915046935785	1.00661102941321e-05	0.00241373123507478	-0.880636674104074	1.00661102941321e-05	down
52331	Stbd1	starch binding domain 1	858.775112685973	-0.867478222814559	0.201648904874398	1.72332649573504e-05	0.0034523246989244	-1.07502956610872	1.72332649573504e-05	down
69909	2610027K06Rik	RIKEN cDNA 2610027K06 gene	17.151798431904	-0.880605081409134	0.207955046232072	2.45144781317016e-05	0.00408385400960327	-1.11615001355872	2.45144781317016e-05	down
246179	Fktn	fukutin	315.509005038264	-0.77129163433836	0.183476707117117	2.65900536211783e-05	0.00429402233274253	-0.909676434667881	2.65900536211783e-05	down
225358	Fam13b	family with sequence similarity 13, member B	67.2507676187886	-0.586962494901678	0.139999697610652	2.79147393449198e-05	0.00444269848959844	-0.639170135574834	2.79147393449198e-05	down
320679	Samd12	sterile alpha motif domain containing 12	15.3033612814271	-0.863775616902698	0.207223953424604	3.40307552512333e-05	0.00501942507481073	-1.09015850682458	3.40307552512333e-05	down
100043102	4632428C04Rik	RIKEN cDNA 4632428C04 gene	99.8995991419933	-0.654769881703214	0.162328190028304	5.56032462772272e-05	0.00721292602937212	-0.738900977026804	5.56032462772272e-05	down
56506	Cib2	calcium and integrin binding family member 2	277.800919539013	-0.674912545887703	0.16803991600024	5.95927983708278e-05	0.00748504465886286	-0.769963767323139	5.95927983708278e-05	down
320749	D630041G03Rik	RIKEN cDNA D630041G03 gene	57.3027216539168	-0.78723207365246	0.196859929677849	6.46195359139043e-05	0.00766859240851096	-0.962247822123905	6.46195359139043e-05	down
73652	2210408F21Rik	RIKEN cDNA 2210408F21 gene	184.119908456111	-0.699120708077982	0.174959299204298	6.51450883092734e-05	0.00766859240851096	-0.80888469897535	6.51450883092734e-05	down
75694	2310058D17Rik	RIKEN cDNA 2310058D17 gene	21.4902814700134	-0.655633150359692	0.164097608945587	6.71572519050101e-05	0.0077578880923262	-0.742192517356415	6.71572519050101e-05	down
231440	Parm1	prostate androgen-regulated mucin-like protein 1	437.816364858834	-0.980909945867228	0.246492104109067	7.08520962498893e-05	0.00806694442626438	-1.5580005401101	7.08520962498893e-05	down
104010	Cdh22	cadherin 22	197.240878594853	-0.669179155798079	0.16885298960285	7.4470368803848e-05	0.00841834326206927	-0.764744664718389	7.4470368803848e-05	down
226180	Ina	internexin neuronal intermediate filament protein, alpha	29.7476012323171	-1.00849392698223	0.254150675609542	7.60311299861685e-05	0.00853382030610711	-1.86081279886564	7.60311299861685e-05	down
73166	Tm7sf2	transmembrane 7 superfamily member 2	1655.28567680284	-0.765933537655158	0.194200906906448	8.1019649061551e-05	0.00890428448644518	-0.9286813606784	8.1019649061551e-05	down
12939	Pcdha7	protocadherin alpha 7	9.81799757899375	-1.00024297885431	0.252240974426921	8.590890586497e-05	0.0091864482717501	-1.74955883421389	8.590890586497e-05	down
218544	Sgtb	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	110.886906789827	-0.746053227667791	0.192775767111335	0.000110700714631831	0.010949684436021	-0.900912718434979	0.000110700714631831	down
328451	Gm5088	poly(A)-binding protein, cytoplasmic pseudogene	29.7020540716204	-0.819061079896494	0.213876581478093	0.000136642884752819	0.0126540944444308	-1.05789810553224	0.000136642884752819	down
78232	Trappc6b	trafficking protein particle complex 6B	748.025412099696	-0.805873453867612	0.211078954305581	0.000136727546442415	0.0126540944444308	-1.03115724158812	0.000136727546442415	down
68588	Cthrc1	collagen triple helix repeat containing 1	484.420476936681	-0.677735666543442	0.17782086698476	0.000139128216961147	0.0127274171192318	-0.789138464857929	0.000139128216961147	down
14172	Fgf18	fibroblast growth factor 18	31.5488620669717	-0.779138461173426	0.204114797759044	0.000140771026198413	0.012803691152966	-0.972831684580182	0.000140771026198413	down
18747	Prkaca	protein kinase, cAMP dependent, catalytic, alpha	50.8077783088977	-0.947134257408127	0.249144419127114	0.00015055980626538	0.013164417093679	-1.55781511014749	0.00015055980626538	down
213993	Ccdc186	coiled-coil domain containing 186	41.4907436802877	-0.848783376452988	0.223393650195376	0.000148792141741099	0.013164417093679	-1.14454896260875	0.000148792141741099	down
