ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw
387285	Hcrtr2	hypocretin (orexin) receptor 2	23.9229546598595	0.405936512424104	0.254665023118546	0.107711603790233	0.214447583543115	0.775508756439381	0.107711603790233
102866	Pls3	plastin 3 (T-isoform)	8067.31007296144	0.308070450100211	0.191577740464151	0.107698947217403	0.214447583543115	0.371228160287221	0.107698947217403
14957	H1f3	H1.3 linker histone, cluster member	19.1955855446306	-0.303131807697535	0.188446910010742	0.107728180616151	0.214453608356126	-0.362200166262416	0.107728180616151
238205	Lrfn5	leucine rich repeat and fibronectin type III domain containing 5	164.147316332536	-0.37133835315441	0.230593086167603	0.107797637397941	0.214483958946419	-0.51950704900065	0.107797637397941
320879	B230217O12Rik	RIKEN cDNA B230217O12 gene	105.1194498257	-0.361122422243113	0.224244601074745	0.107796649447931	0.214483958946419	-0.488424350945211	0.107796649447931
636791	Silc1	sciatic injury induced lincRNA upregulator of SOX11	93.0665310867447	0.236245972375217	0.146925114477417	0.107786454370556	0.214483958946419	0.260052448732996	0.107786454370556
11765	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit	1756.2773171976	0.23211937125484	0.144346924317097	0.107793990690844	0.214483958946419	0.254466699757272	0.107793990690844
14955	H19	H19, imprinted maternally expressed transcript	5.59604168436781	-0.405637407621074	0.252306508341935	0.107851094269626	0.214493954381107	-0.709083829338739	0.107851094269626
218506	Mrps27	mitochondrial ribosomal protein S27	256.270996379902	-0.3485650522564	0.216597653758675	0.107858789823176	0.214493954381107	-0.455766017742871	0.107858789823176
73363	1700056E22Rik	RIKEN cDNA 1700056E22 gene	7.19576449625848	-0.34562810478335	0.214434212352741	0.107817270541773	0.214493954381107	-0.447901755941865	0.107817270541773
218811	Sec24c	SEC24 homolog C, COPII coat complex component	756.623465447613	-0.254847037572598	0.15847894369349	0.107870427329662	0.214493954381107	-0.28572046033916	0.107870427329662
71862	Gpr160	G protein-coupled receptor 160	138.377856335286	-0.218608487144591	0.135952352238991	0.107860348941063	0.214493954381107	-0.236808820101644	0.107860348941063
68112	Entr1	endosome associated trafficking regulator 1	354.743709824916	-0.384109047706227	0.238600738304957	0.107949291449168	0.21454530323243	-0.566634097455076	0.107949291449168
