ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw	sig_status
100041546	Ly6c2	lymphocyte antigen 6 family memberC2	22.5987791754464	1.25024698748462	0.19471944646621	1.55750527320356e-12	1.22435489526532e-08	4.17662735425153	1.55750527320356e-12	up
20304	Ccl5	C-C motif chemokine ligand 5	36.9783307210532	1.20067757184139	0.193051079062936	7.98318529173173e-13	1.22435489526532e-08	4.22368138637566	7.98318529173173e-13	up
14127	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	45.8308208573029	1.26769364345152	0.202824689154565	1.38366173159724e-10	7.25130991472391e-07	2.77788591520522	1.38366173159724e-10	up
17476	Mpeg1	macrophage expressed gene 1	47.4337425608711	1.19605889119067	0.201903897102181	7.95738340634979e-10	3.12764954786579e-06	2.82019248880772	7.95738340634979e-10	up
17329	Cxcl9	C-X-C motif chemokine ligand 9	96.9813874352586	0.665729261494053	0.161419091102706	1.8190099256901e-09	5.71969481033994e-06	5.03474808340355	1.8190099256901e-09	up
69774	Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B	12.161077831148	1.16706136792931	0.201566070461719	4.04151185877336e-09	1.05901082406058e-05	2.87309966156092	4.04151185877336e-09	up
236451	Phf11b	PHD finger protein 11B	122.708720325532	1.15202037252782	0.20100293990221	7.95700951892326e-09	1.78714433795016e-05	2.03805261479761	7.95700951892326e-09	up
214854	Neurl3	neuralized E3 ubiquitin protein ligase 3	17.8485586098749	1.11615275598247	0.194949722761576	1.37335572826248e-08	2.69898734496783e-05	1.76229355514626	1.37335572826248e-08	up
22177	Tyrobp	TYRO protein tyrosine kinase binding protein	14.9909768291436	1.0918317270405	0.201861301328054	4.30048140978162e-08	7.51246319162074e-05	2.57518012987714	4.30048140978162e-08	up
231507	Plac8	placenta-specific 8	35.7029107614214	0.669221967753759	0.164959244460427	8.97694669318886e-08	0.000141135555910315	4.37811085102121	8.97694669318886e-08	up
66940	Shisa5	shisa family member 5	2113.00293008807	0.630325299621764	0.119004784892744	1.18276551573773e-07	0.000169049449440259	0.696343906357893	1.18276551573773e-07	up
240239	Gpr151	G protein-coupled receptor 151	43.7155908992604	1.05932545268974	0.20286730194714	1.31034922207605e-07	0.000171677587245664	2.07193165141392	1.31034922207605e-07	up
13058	Cybb	cytochrome b-245, beta polypeptide	38.8456682603413	0.98186507282818	0.197507602405554	1.68593729147439e-07	0.000189330757832574	2.73046415121837	1.68593729147439e-07	up
14960	H2-Aa	histocompatibility 2, class II antigen A, alpha	283.601690168942	1.04416528053349	0.203036213012398	1.92273868876743e-07	0.000201528651098677	2.0927760850995	1.92273868876743e-07	up
15018	H2-Q7	histocompatibility 2, Q region locus 7	107.209343887188	1.007135606935	0.200914598990384	2.21347235668815e-07	0.000204707131716771	2.44435608914918	2.21347235668815e-07	up
12655	Chil3	chitinase-like 3	7.61021165940445	0.859067233004979	0.181384806174712	2.13855630718178e-07	0.000204707131716771	3.91841760854352	2.13855630718178e-07	up
21857	Timp1	tissue inhibitor of metalloproteinase 1	41.2056228555062	1.00247352473751	0.2009560861155	2.55193451157854e-07	0.000211165865215988	2.44576132243533	2.55193451157854e-07	up
16068	Il18bp	interleukin 18 binding protein	76.5438694624833	0.92851169809802	0.180065481972991	2.53704172277084e-07	0.000211165865215988	1.27232097058606	2.53704172277084e-07	up
15170	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	19.1642362613958	1.02893723307194	0.203022697400519	3.27555429575935e-07	0.000245229831609183	2.15180311647776	3.27555429575935e-07	up
23962	Oasl2	2'-5' oligoadenylate synthetase-like 2	2710.15206726384	1.02640885507175	0.202988965261337	3.1590186562028e-07	0.000245229831609183	2.02669642343524	3.1590186562028e-07	up
23833	Cd52	CD52 antigen	15.8312828326349	0.989784281846405	0.20020778968972	4.29835836710965e-07	0.000270315160990792	2.50514983251065	4.29835836710965e-07	up
14962	Cfb	complement factor B	79.8824684563643	0.904427971440178	0.178652720945072	4.1935865706507e-07	0.000270315160990792	1.22776059490287	4.1935865706507e-07	up
13040	Ctss	cathepsin S	269.820917634793	0.859954069297296	0.187589735864819	4.00201218471961e-07	0.000270315160990792	3.08821441446181	4.00201218471961e-07	up
215900	Calhm6	calcium homeostasis modulator family member 6	15.5983760404423	0.806442945997565	0.181754008401971	4.26104927327091e-07	0.000270315160990792	3.49112502780151	4.26104927327091e-07	up
14129	Fcgr1	Fc receptor, IgG, high affinity I	17.7352342466435	0.884626828299591	0.190507349039458	5.467455344517e-07	0.000330612818948063	3.02400040068174	5.467455344517e-07	up
19354	Rac2	Rac family small GTPase 2	9.78249028390399	1.00017160763069	0.202830362852222	7.06383939794972e-07	0.000411324751905798	2.20398242501469	7.06383939794972e-07	up
235587	Parp3	poly (ADP-ribose) polymerase family, member 3	375.034635397263	0.827537718684291	0.167263719362724	7.54842434474975e-07	0.000423844026957698	1.05635952930681	7.54842434474975e-07	up
24088	Tlr2	toll-like receptor 2	20.3977910938341	0.970922094808533	0.202595136514	1.28129528878831e-06	0.000608171288170162	2.14051841802215	1.28129528878831e-06	up
246256	Fcgr4	Fc receptor, IgG, low affinity IV	8.82173628691741	0.816494379593147	0.184049668389345	1.26787253368292e-06	0.000608171288170162	3.34733382703654	1.26787253368292e-06	up
24108	Ubd	ubiquitin D	9.2743782858032	0.783415758856533	0.179457141863223	1.31521586298089e-06	0.000608171288170162	3.54059923728544	1.31521586298089e-06	up
