ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw	sig_status
69909	2610027K06Rik	RIKEN cDNA 2610027K06 gene	18.6144112527156	-0.762656068373412	0.187281715301713	4.98838746749818e-05	0.00968239848938351	-1.10801659387767	4.98838746749818e-05	down
320749	D630041G03Rik	RIKEN cDNA D630041G03 gene	60.5066057755499	-0.727540429163666	0.185172852370359	8.39849140979908e-05	0.0140469236111554	-1.03556802699197	8.39849140979908e-05	down
56790	Supt20	SPT20 SAGA complex component	37.4132239687039	-0.596132037682597	0.152776601714529	9.94003209458067e-05	0.0162788733948956	-0.719061938169768	9.94003209458067e-05	down
380694	Ccnjl	cyclin J-like	64.1483599128025	-0.64271895963086	0.169501103837741	0.000152756413925507	0.0211440770410286	-0.829389718348861	0.000152756413925507	down
231380	Uba6	ubiquitin-like modifier activating enzyme 6	237.522656009472	-0.635298323584729	0.170634014063218	0.000195577835791605	0.0254121878869059	-0.824694388357545	0.000195577835791605	down
246179	Fktn	fukutin	348.985668212253	-0.611152722666991	0.165408157259389	0.000218759747025243	0.0275830033377009	-0.774150070770093	0.000218759747025243	down
73652	2210408F21Rik	RIKEN cDNA 2210408F21 gene	195.946640004891	-0.624244467354625	0.17232073194262	0.000290423580533642	0.0319491822040998	-0.817284388667614	0.000290423580533642	down
52331	Stbd1	starch binding domain 1	944.420082869057	-0.672800601606134	0.188066913437896	0.00033490373035935	0.0346405029520376	-0.979857969577954	0.00033490373035935	down
320679	Samd12	sterile alpha motif domain containing 12	16.6992732836017	-0.690457640875917	0.191424200712021	0.000338271329456489	0.0347601427563067	-1.03933722506823	0.000338271329456489	down
12939	Pcdha7	protocadherin alpha 7	10.9786324216041	-0.679905640987938	0.200573700740188	0.000609384851743438	0.0496411846586028	-1.66641149935635	0.000609384851743438	down
