"ENTREZID","SYMBOL","GENENAME","baseMean","log2FC_shrink","lfcSE","pvalue","FDR","log2FC_raw","pvalue_raw"
"404289","Vmn1r181","vomeronasal 1 receptor 181",9.35265399223485,0.33410108856011,0.200746114295775,0.0944729941557643,0.430330476808346,0.792527287645975,0.0944729941557643
"76055","Oga","O-GlcNAcase",5076.19597556912,0.332736914806781,0.19925401370435,0.0946208217944581,0.430330476808346,0.824861521874998,0.0946208217944581
"217653","Mis18bp1","MIS18 binding protein 1",13.8106715258229,0.329143851725263,0.198965258354612,0.0944831749642353,0.430330476808346,0.833157644663346,0.0944831749642353
"13479","Dpep1","dipeptidase 1",16.7471426634127,0.327786109124101,0.196541787332162,0.0946774967846613,0.430330476808346,0.878798481559132,0.0946774967846613
"11966","Atp6v1b2","ATPase, H+ transporting, lysosomal V1 subunit B2",1288.84271979749,-0.326284237797379,0.197246032918024,0.0939174283781123,0.430330476808346,-0.86653619811632,0.0939174283781123
"227325","Dner","delta/notch-like EGF repeat containing",12866.8476221902,0.325504422604599,0.194893622048309,0.0940565102823109,0.430330476808346,0.907188180642956,0.0940565102823109
"56726","Sh3bgrl","SH3-binding domain glutamic acid-rich protein like",2685.83995390656,0.313984649906501,0.187822281450152,0.0947266436947642,0.430330476808346,0.454866648817059,0.0947266436947642
"229534","Pbxip1","pre B cell leukemia transcription factor interacting protein 1",210.990798020723,-0.30981692671044,0.185202897904353,0.0941975849656411,0.430330476808346,-0.439753278562373,0.0941975849656411
"14957","H1f3","H1.3 linker histone, cluster member",19.7717868464443,-0.302709894270598,0.181048209669661,0.0947124137353389,0.430330476808346,-0.41728305745216,0.0947124137353389
"67848","Ddx55","DEAD box helicase 55",334.416296297583,0.30218609339466,0.180548303494139,0.0942147410612779,0.430330476808346,0.414621053914414,0.0942147410612779
"321006","Dcaf1","DDB1 and CUL4 associated factor 1",358.271717310053,0.300483650589317,0.179458435275014,0.094087188569221,0.430330476808346,0.409388749404263,0.094087188569221
"140580","Elmo1","engulfment and cell motility 1",1554.75741969257,0.287408979264351,0.171680024116063,0.0941771761517081,0.430330476808346,0.374653284725497,0.0941771761517081
"21808","Tgfb2","transforming growth factor, beta 2",104.574062757386,-0.282712025564501,0.169173440171596,0.0946310597907371,0.430330476808346,-0.364246428103325,0.0946310597907371
"544922","Zkscan4","zinc finger with KRAB and SCAN domains 4",45.3194099324679,0.280088624236148,0.167690666128962,0.0947050099455844,0.430330476808346,0.358405366103949,0.0947050099455844
"69601","Dab2ip","disabled 2 interacting protein",548.10751734534,-0.26643990077425,0.159198971084932,0.0941863259682215,0.430330476808346,-0.328825580501734,0.0941863259682215
"224703","Marchf2","membrane associated ring-CH-type finger 2",1375.50046938529,-0.261244211206464,0.15627883630687,0.0945496443386165,0.430330476808346,-0.318937357318049,0.0945496443386165
"51902","Rnf24","ring finger protein 24",133.133388765059,-0.248975962869497,0.148889321520249,0.0946225518457964,0.430330476808346,-0.296331792959375,0.0946225518457964
"66237","Atp6v1g2","ATPase, H+ transporting, lysosomal V1 subunit G2",2491.66670796145,-0.244079453614821,0.145784573395544,0.0940531748164957,0.430330476808346,-0.287845314225357,0.0940531748164957
"235505","Cd109","CD109 antigen",108.617609130492,0.235744144252509,0.14103141723898,0.0943979590404849,0.430330476808346,0.274388609776822,0.0943979590404849
"66950","Pacc1","proton activated chloride channel 1",180.766499716585,-0.218391535657416,0.130439191378429,0.09417363186983,0.430330476808346,-0.247228219661432,0.09417363186983
"56280","Mrpl37","mitochondrial ribosomal protein L37",535.174291222176,-0.191994260264166,0.114711916479182,0.0942192629355675,0.430330476808346,-0.210375403366956,0.0942192629355675
"229681","St7l","suppression of tumorigenicity 7-like",304.972586323198,-0.154239422648132,0.0921535198534316,0.0942189769064953,0.430330476808346,-0.163112104300089,0.0942189769064953
"17769","Mthfr","methylenetetrahydrofolate reductase",327.437594427624,0.150272239355155,0.0899276824520373,0.0946890707438395,0.430330476808346,0.158477828226923,0.0946890707438395
"230484","Usp1","ubiquitin specific peptidase 1",318.68308496643,0.337573747443397,0.202062647755498,0.0948805645484564,0.430333726763159,0.614485085602113,0.0948805645484564
"30055","Timm13","translocase of inner mitochondrial membrane 13",1302.3073176209,-0.337382682324257,0.203023774067906,0.0947793259283265,0.430333726763159,-0.689454900858577,0.0947793259283265
"232821","Ccdc106","coiled-coil domain containing 106",82.6028390413807,-0.275962954957076,0.165076155747429,0.0948435455058303,0.430333726763159,-0.348648439747493,0.0948435455058303
"64340","Dhx38","DEAH-box helicase 38",229.442259714154,-0.272682933122072,0.163245535477834,0.0948967708108302,0.430333726763159,-0.341975014621691,0.0948967708108302
