probe_id	colleague_log2FC	colleague_padj	ours_log2FC	ours_padj	status
ILMN_1212602	-1.99999969616846	0.834540291442405	0.504526305221986	0.237948788443381	ns
ILMN_1212603	-0.472887339359093	0.88851125502451	0.151521366658092	0.520902169937052	ns
ILMN_1212605	0	1	-0.0619374431415602	0.929908466758229	ns
ILMN_1212607	1.02384681661171	0.834540291442405	-0.296112597013078	0.618963086256042	ns
ILMN_1212612	0.524322870603049	0.834540291442405	-0.102488393493924	0.722213564141973	ns
ILMN_1212614	0.225842500367431	0.906140168780012	-0.045840404434264	0.849341777927272	ns
ILMN_1212625	0	NA	-0.232751949492997	0.433234005593038	ns
ILMN_1212626	0	NA	-0.00855288878453209	0.987572529587712	ns
ILMN_1212628	1.17687763402349	0.834540291442405	-0.213720233988263	0.341486013265145	ns
ILMN_1212633	-1.54314190325569	0.834540291442405	0.392842032139547	0.380462133009122	ns
ILMN_1212636	0	NA	-0.0403683210621875	0.93895775506605	ns
ILMN_1212637	0	NA	-0.723784079009942	0.0107852920253998	ns
ILMN_1212638	0	NA	-0.0797891769134083	0.917724027300702	ns
ILMN_1212644	-0.718031369411884	0.834540291442405	0.198999329703886	0.430841089246942	ns
ILMN_1212645	0.672081508555748	0.855374364209604	-0.200753257400716	0.351930151692595	ns
ILMN_1212646	1.62243720683839	0.834540291442405	-0.238754049243264	0.682206612588866	ns
ILMN_1212648	0	NA	0.377459175908966	0.135588235860941	ns
ILMN_1212649	0.18322174071513	0.978032088857403	-0.103434971891311	0.758193462556186	ns
ILMN_1212650	-3.1288091063283	0.838780585328323	0.515522438914701	0.415851440575023	ns
ILMN_1212653	1.3304732088117	0.8480089427504	-0.44504977774199	0.221880372303554	ns
ILMN_1212663	1.58496223064868	0.834540291442405	-0.916873533790519	0.0149229572211773	ns
ILMN_1212664	-0.34840023048806	0.965020164289704	-0.183439614234048	0.606390696948427	ns
ILMN_1212667	2.01392432147525	0.834540291442405	-0.311496443768076	0.298493029705527	ns
ILMN_1212668	0.0820356474698243	0.992440085934298	-0.0855382060964862	0.887430885595584	ns
ILMN_1212669	-0.0759490201803965	0.995083874671926	0.0699155267757581	0.936243708286653	ns
ILMN_1212670	-0.465223527553681	0.944225420742208	0.0449460768377197	0.941858517576149	ns
ILMN_1212672	-1.18452862629681e-07	1	0.18214786753714	0.738865992665393	ns
ILMN_1212678	0.568895081402826	0.852916130503436	-0.154512383180004	0.554792390620435	ns
ILMN_1212682	1.58496223064868	0.834540291442405	-0.71425164323252	0.150915952577139	ns
ILMN_1212683	0.0258071832216138	0.93638547058128	-0.007651463095117	0.983024415987925	ns
ILMN_1212685	0	NA	0.138913977071276	0.645565204281624	ns
