L_label	ligand_complex	ligand_subunits	receptor_complex	receptor_subunits	n_recep_subunits	n_up_subunits	all_subunits_up	any_subunit_up	r_dir_up	pathway_name	annotation	interaction_name	L_expr_Mo_TX91	L_rn	R_expr_vagus_IAV	R_rn	L_trend_slope	L_trend_FDR	L_func_class	R_max_log2FC	R_min_FDR	prob
58_SS+CCC	Cd209a	Cd209a	Ceacam1	Ceacam1	1	0	FALSE	FALSE	FALSE	CEACAM	Cell-Cell Contact	CD209A_CEACAM1	6.2247206263041	0.511277725710715	1.15185211524154	0.488606909358196	-0.494030772482081	0.00238060227805547	ImmuneReg;Membrane	-0.307808282932101	0.44298170116555	0.249685369336291
58_SS+CCC	Il16	Il16	Cd4	Cd4	1	0	FALSE	FALSE	FALSE	IL16	Secreted Signaling	IL16_CD4	10.4923255918708	0.9087160262418	0.221595452802551	0.309837904754536	-0.244758874675413	0.00920717577593119	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Secreted;Membrane	NA	NA	0.212976961815656
58_SS+CCC	Btla	Btla	Tnfrsf14	Tnfrsf14	1	0	FALSE	FALSE	FALSE	BTLA	Secreted Signaling	BTLA_TNFRSF14	9.08695230864152	0.792752264917213	0.148191086811285	0.268250222445743	-0.533917339674537	0.00482940869184734	ImmuneReg;SignalTransduction;CellCommunication;Membrane	NA	NA	0.159895267153302
