direction	ligand_complex	ligand_subunits	receptor_complex	receptor_subunits	annotation	pathway_name	interaction_name	L_mean_sender	L_pct_sender	L_rn	R_mean_receiver	R_pct_receiver	R_rn	prob
Cx3cr1+_immune -> Tac1+_neuron	Efnb3	Efnb3	Ephb6	Ephb6	Cell-Cell Contact	EPHB	EFNB3_EPHB6	0.0759110898932563	0.0883720930232558	0.673810563072894	0.192029176440361	0.410377358490566	0.724661719773025	0.436901695153345
Cx3cr1+_immune -> Tac1+_neuron	Bmp2	Bmp2	BMPR1A_BMPR2	Bmpr1a;Bmpr2	Secreted Signaling	BMP	BMP2_BMPR1A_BMPR2	0.0667639945344275	0.0558139534883721	0.65547795722392	0.211483823875381	0.349056603773585	0.738175620784487	0.433346329707487
Cx3cr1+_immune -> Tac1+_neuron	Wnt4	Wnt4	FZD3_LRP6	Fzd3;Lrp6	Secreted Signaling	WNT	WNT4_FZD3_LRP6	0.0688905884672152	0.0930232558139535	0.659450021824531	0.200282395828496	0.339622641509434	0.72858851141457	0.431672906578025
Cx3cr1+_immune -> Tac1+_neuron	Efnb3	Efnb3	Epha4	Epha4	Cell-Cell Contact	EPHB	EFNB3_EPHA4	0.0759110898932563	0.0883720930232558	0.673810563072894	0.175523478162227	0.30188679245283	0.707725883893496	0.430181960764385
Cx3cr1+_immune -> Tac1+_neuron	Mif	Mif	Ackr3	Ackr3	Secreted Signaling	MIF	MIF_ACKR3	1.25260383733721	0.86046511627907	0.982933216935836	0.0559523888848775	0.122641509433962	0.539764295067656	0.427554917660057
Cx3cr1+_immune -> Tac1+_neuron	Nfasc	Nfasc	CNTN1_CNTNAP1	Cntn1;Cntnap1	Cell-Cell Contact	CNTN	NFASC_CNTN1_CNTNAP1	0.0438567511858857	0.0604651162790698	0.597773897861196	0.445990027670622	0.349056603773585	0.810933838233323	0.426301018561937
Cx3cr1+_immune -> Tac1+_neuron	Bmp2	Bmp2	BMPR1A_ACVR2B	Bmpr1a;Acvr2b	Secreted Signaling	BMP	BMP2_BMPR1A_ACVR2B	0.0667639945344275	0.0558139534883721	0.65547795722392	0.18505935342485	0.349056603773585	0.716390102600217	0.425091460292996
Cx3cr1+_immune -> Tac1+_neuron	Mdk	Mdk	Alk	Alk	Secreted Signaling	MK	MDK_ALK	0.166778822411582	0.153488372093023	0.795896988214753	0.090838947233374	0.221698113207547	0.601047577477084	0.423763714989141
Cx3cr1+_immune -> Tac1+_neuron	Efnb1	Efnb1	Ephb2	Ephb2	Cell-Cell Contact	EPHB	EFNB1_EPHB2	0.059238746905191	0.0883720930232558	0.638760366652117	0.201641627683889	0.485849056603774	0.733566128328241	0.423376602825788
Cx3cr1+_immune -> Tac1+_neuron	Nectin3	Nectin3	Nectin2	Nectin2	Cell-Cell Contact	NECTIN	NECTIN3_NECTIN2	0.0355802456719414	0.0511627906976744	0.570798777826277	0.407536138203437	0.740566037735849	0.858315146224356	0.422466424770285
Cx3cr1+_immune -> Tac1+_neuron	Adcyap1	Adcyap1	Adcyap1r1	Adcyap1r1	Secreted Signaling	PACAP	ADCYAP1_ADCYAP1R1	0.050079294704986	0.0744186046511628	0.615277171540812	0.234286761683231	0.471698113207547	0.761676123963335	0.420895769511892
Cx3cr1+_immune -> Tac1+_neuron	Efna5	Efna5	Ephb2	Ephb2	Cell-Cell Contact	EPHA	EFNA5_EPHB2	0.054865937063228	0.0744186046511628	0.62841553906591	0.201641627683889	0.485849056603774	0.733566128328241	0.418103641027593
Cx3cr1+_immune -> Tac1+_neuron	Nectin3	Nectin3	Nectin1	Nectin1	Cell-Cell Contact	NECTIN	NECTIN3_NECTIN1	0.0355802456719414	0.0511627906976744	0.570798777826277	0.365359775046009	0.669811320754717	0.840331732867743	0.41788622429417
Cx3cr1+_immune -> Tac1+_neuron	Bmp2	Bmp2	BMPR1A_ACVR2A	Bmpr1a;Acvr2a	Secreted Signaling	BMP	BMP2_BMPR1A_ACVR2A	0.0667639945344275	0.0558139534883721	0.65547795722392	0.164364183135933	0.349056603773585	0.695850461518122	0.416910472691628
Cx3cr1+_immune -> Tac1+_neuron	Gal	Gal	Galr1	Galr1	Secreted Signaling	GALANIN	GAL_GALR1	0.141888344336642	0.181395348837209	0.769532955041467	0.0900320525501829	0.19811320754717	0.599519860323003	0.414702423988949
Cx3cr1+_immune -> Tac1+_neuron	Efnb1	Efnb1	Epha4	Epha4	Cell-Cell Contact	EPHB	EFNB1_EPHA4	0.059238746905191	0.0883720930232558	0.638760366652117	0.175523478162227	0.30188679245283	0.707725883893496	0.413620671405566
Cx3cr1+_immune -> Tac1+_neuron	Jam2	Jam2	Jam2	Jam2	Cell-Cell Contact	JAM	JAM2_JAM2	0.150613579397766	0.209302325581395	0.779135748581406	0.0810949792437859	0.160377358490566	0.584722828459188	0.409138182484649
Cx3cr1+_immune -> Tac1+_neuron	Efna5	Efna5	Epha4	Epha4	Cell-Cell Contact	EPHA	EFNA5_EPHA4	0.054865937063228	0.0744186046511628	0.62841553906591	0.175523478162227	0.30188679245283	0.707725883893496	0.408469215267677
Cx3cr1+_immune -> Tac1+_neuron	Sema4a	Sema4a	Plxnb1	Plxnb1	Cell-Cell Contact	SEMA4	SEMA4A_PLXNB1	0.0967650514006572	0.130232558139535	0.709559144478394	0.104046996661316	0.264150943396226	0.620558707987778	0.405169901473402
Cx3cr1+_immune -> Tac1+_neuron	Tnf	Tnf	Tnfrsf1a	Tnfrsf1a	Secreted Signaling	TNF	TNF_TNFRSF1A	1.49767839124183	0.767441860465116	0.986992579659537	0.034235181804675	0.0707547169811321	0.489960715844609	0.389819470703974
Cx3cr1+_immune -> Tac1+_neuron	Mag	Mag	Mag	Mag	Cell-Cell Contact	MAG	MAG_MAG	0.122855004536906	0.181395348837209	0.746660846791794	0.0672154334604468	0.136792452830189	0.561065037101702	0.384803737273001
Cx3cr1+_immune -> Tac1+_neuron	Efna5	Efna5	Epha7	Epha7	Cell-Cell Contact	EPHA	EFNA5_EPHA7	0.054865937063228	0.0744186046511628	0.62841553906591	0.118564570373066	0.216981132075472	0.640113487560018	0.380307613182588
Cx3cr1+_immune -> Tac1+_neuron	Bmp2	Bmp2	BMPR1B_BMPR2	Bmpr1b;Bmpr2	Secreted Signaling	BMP	BMP2_BMPR1B_BMPR2	0.0667639945344275	0.0558139534883721	0.65547795722392	0.0858878837606347	0.0518867924528302	0.608948215618146	0.377595205514123
Cx3cr1+_immune -> Tac1+_neuron	Wnt4	Wnt4	FZD9_LRP6	Fzd9;Lrp6	Secreted Signaling	WNT	WNT4_FZD9_LRP6	0.0688905884672152	0.0930232558139535	0.659450021824531	0.0912818420942361	0.113207547169811	0.602924276983579	0.376228197504623
Cx3cr1+_immune -> Tac1+_neuron	Sst	Sst	Sstr2	Sstr2	Secreted Signaling	SOMATOSTATIN	SST_SSTR2	0.0636995395921905	0.0976744186046512	0.649105194238324	0.0947238461198099	0.221698113207547	0.606809253601048	0.373811229601578
Cx3cr1+_immune -> Tac1+_neuron	Ptprm	Ptprm	Ptprm	Ptprm	Cell-Cell Contact	PTPRM	PTPRM_PTPRM	0.0441570061481885	0.0511627906976744	0.598603230030554	0.126712554585292	0.320754716981132	0.650807507638586	0.370405015866417
Cx3cr1+_immune -> Tac1+_neuron	Bmp2	Bmp2	BMPR1B_ACVR2B	Bmpr1b;Acvr2b	Secreted Signaling	BMP	BMP2_BMPR1B_ACVR2B	0.0667639945344275	0.0558139534883721	0.65547795722392	0.0751563686740297	0.0518867924528302	0.590976540516591	0.368434310330988
Cx3cr1+_immune -> Tac1+_neuron	Wnt4	Wnt4	FZD1_LRP6	Fzd1;Lrp6	Secreted Signaling	WNT	WNT4_FZD1_LRP6	0.0688905884672152	0.0930232558139535	0.659450021824531	0.0722822239257248	0.0943396226415094	0.575732460372608	0.361966682780244
Cx3cr1+_immune -> Tac1+_neuron	Wnt4	Wnt4	FZD2_LRP6	Fzd2;Lrp6	Secreted Signaling	WNT	WNT4_FZD2_LRP6	0.0688905884672152	0.0930232558139535	0.659450021824531	0.0711194384032039	0.0707547169811321	0.574063486613758	0.36106272659627
Cx3cr1+_immune -> Tac1+_neuron	Bmp2	Bmp2	BMPR1B_ACVR2A	Bmpr1b;Acvr2a	Secreted Signaling	BMP	BMP2_BMPR1B_ACVR2A	0.0667639945344275	0.0558139534883721	0.65547795722392	0.0667516389523447	0.0518867924528302	0.574032635253117	0.359450947909992
Cx3cr1+_immune -> Tac1+_neuron	Sst	Sst	Sstr1	Sstr1	Secreted Signaling	SOMATOSTATIN	SST_SSTR1	0.0636995395921905	0.0976744186046512	0.649105194238324	0.077309247656492	0.160377358490566	0.578262767350502	0.359119118469786
Cx3cr1+_immune -> Tac1+_neuron	Jam3	Jam3	Jam2	Jam2	Cell-Cell Contact	JAM	JAM3_JAM2	0.0582106869323517	0.0744186046511628	0.636316019205587	0.0810949792437859	0.160377358490566	0.584722828459188	0.357127407626648
Cx3cr1+_immune -> Tac1+_neuron	Wnt4	Wnt4	FZD8_LRP6	Fzd8;Lrp6	Secreted Signaling	WNT	WNT4_FZD8_LRP6	0.0688905884672152	0.0930232558139535	0.659450021824531	0.0634897719261397	0.0849056603773585	0.561502830672703	0.354151424951614
Cx3cr1+_immune -> Tac1+_neuron	Angptl4	Angptl4	Cdh11	Cdh11	Secreted Signaling	ANGPTL	ANGPTL4_CDH11	0.0473744553518445	0.0558139534883721	0.608336970755129	0.0924499524634771	0.19811320754717	0.603491924923614	0.353896555516395
